('horfoal01', 'gilgesh01', ' makes 2-pt hook shot from 5 ft ', '202102010OKC', '11:47.0')
('walljo01', 'oladivi01', ' makes 3-pt jump shot from 28 ft ', '202102010OKC', '8:47.0')
('oladivi01', 'woodch01', ' makes 3-pt jump shot from 26 ft ', '202102010OKC', '7:09.0')
('oladivi01', 'walljo01', ' makes 3-pt jump shot from 23 ft ', '202102010OKC', '6:05.0')
('woodch01', 'walljo01', ' makes 3-pt jump shot from 25 ft ', '202102010OKC', '5:44.0')
('gordoer01', 'oladivi01', ' makes 3-pt jump shot from 26 ft ', '202102010OKC', '4:54.0')
('woodch01', 'oladivi01', ' makes 3-pt jump shot from 25 ft ', '202102010OKC', '4:27.0')
('dortlu01', 'horfoal01', ' makes 3-pt jump shot from 25 ft ', '202102010OKC', '4:02.0')
('horfoal01', 'bazleda01', ' makes 3-pt jump shot from 26 ft ', '202102010OKC', '3:36.0')
('tuckepj01', 'brownst02', ' makes 3-pt jump shot from 23 ft ', '202102010OKC', '2:12.0')
('houseda01', 'tateja01', ' makes 3-pt jump shot from 22 ft ', '202102010OKC', '0:57.0')
('willike04', 'pokusal01', ' makes 2-pt jump shot from 12 ft ', '202102010OKC', '10:09.0')
('bazleda01', 'willike04', ' makes 2-pt layup from 1 ft ', '202102010OKC', '9:48.0')
('muscami01', 'willike04', ' makes 3-pt jump shot from 25 ft ', '202102010OKC', '9:02.0')
('tateja01', 'walljo01', ' makes 2-pt dunk from 2 ft ', '202102010OKC', '8:44.0')
('bazleda01', 'maledth01', ' makes 2-pt jump shot from 17 ft ', '202102010OKC', '8:27.0')
('woodch01', 'walljo01', ' makes 2-pt layup from 2 ft ', '202102010OKC', '8:01.0')
('walljo01', 'tateja01', ' makes 3-pt jump shot from 23 ft ', '202102010OKC', '6:48.0')
('mclembe01', 'tateja01', ' makes 2-pt layup from 3 ft ', '202102010OKC', '6:05.0')
('maledth01', 'gilgesh01', ' makes 3-pt jump shot from 26 ft ', '202102010OKC', '4:25.0')
('walljo01', 'tuckepj01', ' makes 2-pt layup from 3 ft ', '202102010OKC', '4:05.0')
('jacksju01', 'dortlu01', ' makes 2-pt jump shot from 6 ft ', '202102010OKC', '3:35.0')
('walljo01', 'gordoer01', ' makes 3-pt jump shot from 25 ft ', '202102010OKC', '2:53.0')
('bazleda01', 'horfoal01', ' makes 2-pt dunk from 1 ft ', '202102010OKC', '1:30.0')
('gordoer01', 'tateja01', ' makes 3-pt jump shot from 32 ft ', '202102010OKC', '0:42.0')
('jacksju01', 'gilgesh01', ' makes 3-pt jump shot from 23 ft ', '202102010OKC', '0:30.0')
