('wadede01', 'sextoco01', ' makes 3-pt jump shot from 26 ft ', '202111070NYK', '11:10.0')
('barrerj01', 'robinmi01', ' makes 2-pt dunk from 1 ft ', '202111070NYK', '10:44.0')
('garlada01', 'sextoco01', ' makes 2-pt layup at rim ', '202111070NYK', '8:49.0')
('sextoco01', 'allenja01', ' makes 2-pt layup at rim ', '202111070NYK', '8:28.0')
('allenja01', 'sextoco01', ' makes 2-pt layup from 1 ft ', '202111070NYK', '7:44.0')
('allenja01', 'garlada01', ' makes 2-pt dunk from 1 ft ', '202111070NYK', '7:08.0')
('robinmi01', 'rosede01', ' makes 2-pt dunk from 1 ft ', '202111070NYK', '5:43.0')
('fournev01', 'randlju01', ' makes 2-pt jump shot from 13 ft ', '202111070NYK', '5:10.0')
('sextoco01', 'rubiori01', ' makes 2-pt layup at rim ', '202111070NYK', '4:57.0')
('randlju01', 'rosede01', ' makes 2-pt jump shot from 20 ft ', '202111070NYK', '4:41.0')
('fournev01', 'randlju01', ' makes 2-pt jump shot from 11 ft ', '202111070NYK', '3:38.0')
('mobleev01', 'rubiori01', ' makes 2-pt dunk from 1 ft ', '202111070NYK', '3:14.0')
('mobleev01', 'garlada01', ' makes 2-pt jump shot from 12 ft ', '202111070NYK', '2:35.0')
('fournev01', 'randlju01', ' makes 3-pt jump shot from 25 ft ', '202111070NYK', '2:05.0')
('fournev01', 'randlju01', ' makes 3-pt jump shot from 26 ft ', '202111070NYK', '1:38.0')
('rubiori01', 'mobleev01', ' makes 3-pt jump shot from 23 ft ', '202111070NYK', '1:23.0')
('mobleev01', 'rubiori01', ' makes 2-pt dunk at rim ', '202111070NYK', '0:39.0')
('toppiob01', 'quickim01', ' makes 2-pt layup from 2 ft ', '202111070NYK', '0:27.0')
('mobleev01', 'rubiori01', ' makes 2-pt jump shot from 13 ft ', '202111070NYK', '11:27.0')
('rubiori01', 'osmande01', ' makes 3-pt jump shot from 24 ft ', '202111070NYK', '9:35.0')
('wadede01', 'sextoco01', ' makes 3-pt jump shot from 25 ft ', '202111070NYK', '7:26.0')
